first_edit_month,users_this_month,users_retained,retention_percent
2019-05,22,1,4.54545454545455
2019-06,20,2,10.0
2019-07,23,2,8.69565217391304
2019-08,20,2,10.0
2019-09,15,0,0.0
2019-10,22,1,4.54545454545455
2019-11,12,0,0.0
2019-12,18,2,11.1111111111111
2020-01,15,1,6.66666666666667
2020-02,15,2,13.3333333333333
2020-03,14,1,7.14285714285714
2020-04,14,0,0.0
2020-05,18,2,11.1111111111111
2020-06,19,0,0.0
2020-07,26,0,0.0
2020-08,15,0,0.0
2020-09,14,2,14.2857142857143
2020-10,16,1,6.25
2020-11,35,5,14.2857142857143
2020-12,31,3,9.67741935483871
2021-01,28,2,7.14285714285714
2021-02,20,1,5.0
2021-03,26,0,0.0
2021-04,22,1,4.54545454545455
2021-05,25,0,0.0
2021-06,28,1,3.57142857142857
2021-07,18,0,0.0
2021-08,22,2,9.09090909090909
2021-09,17,0,0.0
2021-10,10,0,0.0
2021-11,9,0,0.0
2021-12,14,1,7.14285714285714
2022-01,18,0,0.0
2022-02,11,0,0.0
2022-03,10,0,0.0
2022-04,17,2,11.7647058823529
2022-05,19,4,21.0526315789474
2022-06,14,0,0.0
2022-07,28,1,3.57142857142857
2022-08,27,0,0.0
2022-09,18,1,5.55555555555556
2022-10,21,0,0.0
2022-11,12,0,0.0
2022-12,19,0,0.0
2023-01,20,0,0.0
2023-02,12,0,0.0
2023-03,6,0,0.0
2023-04,16,0,0.0
2023-05,15,0,0.0
2023-06,12,1,8.33333333333333
2023-07,19,0,0.0
2023-08,15,0,0.0
2023-09,10,0,0.0
2023-10,11,0,0.0
2023-11,11,0,0.0
2023-12,14,0,0.0
2024-01,19,0,0.0
2024-02,15,0,0.0
2024-03,20,0,0.0
2024-04,13,0,0.0
2024-05,12,0,0.0
2024-06,18,0,0.0
2024-07,8,0,0.0
2024-08,15,0,0.0
2024-09,13,0,0.0
